NOMBRE,WALLET,NFT,,,PAGO,PATROCINADOR,,
1090Plus,0xc9050f1DA1dc13175435Fe6154cDa60Af8D01c06,2,,,BTC,Yomismo33,11/Jul,Horacio
NegociosDigitales,0xC1A8167D0758936581D8Fc3d6123C70A6C620bf4,2,,,BTC,Axemprendedor,11/Jul,Horacio
KD,0x20059d32d5f239B22D111b8c3965Eb08F90B7af4,3,,,WILL,,10/Jul,will
Dariela75,0x2CCB247E91b331e915B189777488aC9E6d88AE94,2,,,BTC,Piter76,,Horacio
catikopower,0xb0a1ed4afe2fbc84e1596392e438d462ab555654,1,,,WILL,,,will
EONFAMES,0x0746f18f3a9230f23ed03edd9193dc253c287de8,2,,,WILL,,,will
angy04,0x18444ABD9b9378071C4F23C47E5c2FFAD402f84D,5,,,BTC,,11-Jul,Eduardo
Reyna,0x2F4681Df4a6830DeAF080913162Bf268CD64C8da,3,,,BTC,,11-Jul,Eduardo
Alexandre23,0x777deeea039cc845c6cc270A3d3700f6B55Aa460,3,,,BTC,,11-Jul,Eduardo
Angel16,0x26A8aF47cabF85fDcaD40959Ae598d9B80a843C6,3,,,BTC,,11-Jul,Eduardo
4argelia12,0xa122C3267CE5d724120a2D0CF8Ed9EDbf40f5918,5,,,BTC,,11-Jul,Eduardo
1joseortega7,0x6Fc2D76fA441905e1a5e16A07D34e687f7e4A2EC,10,,BTC,,,11-Jul,Eduardo
mariovalve,0xb267534C60CA036d4DE8a47904af8704FEa5b027,10,,BTC,,,11-Jul,Eduardo
millonaria5,0x1B571e96391131eFCcD49c5b5682A64f1fb87579,5,,BTC,,,11-Jul,Eduardo
Azul25,0xbf11e2a1c8934a3FaC7602ff2E5C9da0daf140Df,1,,BTC,WILL,,,Will
Juana8,0xD86b9C842f3d08D239B410e8debD6e1773CD9f99,1,,BTC,WILL,,,Will
Mariap1,0x64B34aD5B42f3e476E634539A22b970bA26b6038,1,,,WILL,,,Will
Marryhope,0x0B831f5bB882b4A51134e5C42108835EF823e26A,1,,,WILL,,,Will
1090 Plus,0xc9050f1DA1dc13175435Fe6154cDa60Af8D01c06,2,,,BTC,Yomismo33,,
Leon1969,0x63b079292321E2cE5029f06432Eeb21445591C95,2,,,BTC,Axemprendedor,,
successyaar,0x567A5171F5D1AD30A156A70A0117F0c6EE0B7784,1,,,BTC,registromaster,,
Seamasfeliz,0x5b498B29b02f23A8b26ba4a0DE85c79696B83F35,1,,,BTC,,,Eduardo
Mila1070,0xeE6BD03308236DA80bb125b3de35a7d8CA2b5757,4,,,BTC,,,Eduardo
madrian,0x9b6Cf3ED11165E791279761D98c443e41C099975,1,,,BTC,Yomismo33,,Horacio
JorgeLRZ,0xa2F7Ca40e9084A180734a48eb9E4725FA6F64Bd9,1,,,BTC,Yomismo33,,Horacio
Mariazermeno1010,0x69801ba726C12276229CE75aA928958001C77c33,1,,,BTC,Alex0603,,JUAN
MAZAPAN,0x31d4D2D6E58EC543a7f04ef7eEDfDC42D058b0bb,1,,,BTC,,,JUAN
Alex0603,0x70be6652f21E00479E9D4E9F2c92219F7413f5bc,1,,,BTC,,,JUAN
CACAHUATE,0x669A7e1b45549f5C7a2B77E2590B2367752f812A,1,,,BTC,,,JUAN
Brianna16,0x0061BcaBA247a39c6097587addc387d7240B658C,1,,,BTC,,,JUAN
mirian,0x99190e4Cddce6336Ea17918473a6445c4D85d59e,3,,,BTC,,,Eduardo
evolución1,0x22f9a4E828DBbF2D871A2843AAa2ed5A18Ba4F5d,1,,,BTC,,,EDuardo
ElTioBozz,0x31f1a536E1866C00326888a24499765D1427d579,3,,,BTC,Sandy721,,Horacio
ElTioBozz,0x31f1a536E1866C00326888a24499765D1427d579,1,,,BTC,Sandy721,,Horacio
Superman1,0x4CED6B1F2f7784c44AAD912c643032b973C0C783,1,,,BTC,Yomismo33,,Horacio
Yomismo33,0x31e8aA1D73823E2556597bd5C145496FE7DBdDce,4,,,DEBE,Aida,,Horacio
ElTioBozz,0x31f1a536E1866C00326888a24499765D1427d579,2,,,Will,,,Horacio
FOLLOWME,0x1dA19571aD220fac0E151c9F5621B2F2F66D12ba,2,,,BTC,,,Eduardo
CHARGER1969,0x41910B268026d5b6C81A33a43081dFbc4cdFF02c,3,,,Will,,,will
Elevate,0xDD0BB53e13C5eBb5fF3160E1f682DeC1B6f0853B,5,,,Will,,,Will
MarioG07,0x95c68546CA4000b5BB890F8b2fD5264eD8FC6511,2,,,BTC,,,JUAN
Elevate,0xDD0BB53e13C5eBb5fF3160E1f682DeC1B6f0853B,5,,,Will,,,Will
ROSALIA,0x26932e82619598a9c167B0a4a3CB9078Bc349d47,1,,,Will,,,Will
SERVANDINY,0x7337B8552CB457F855ac0b2F8a36d466E077dC2d,1,,,Will,,,Will
